solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS
12540,Ruihang Xu,6.33,U2' R R' r U r' U' r' F r2 U' r' U' r U r' F',1.50,23.7%,17,11.33,17,11.33
12539,Ruihang Xu,4.12,R U R' U R' U' R2 U' R' U R' U R,0.82,19.9%,13,15.85,13,15.85
12538,Luke Garrett,3.19,,0.16,5.0%,1,6.25,1,6.25
12537,Luke Garrett,3.66,U x R2' D2 R U R' D2 R U' R,1.03,28.1%,10,9.71,11,10.68
12536,Luke Garrett,3.80,,0.00,0.0%,0,n/a,0,n/a
12535,Luke Garrett,3.88,,0.21,5.4%,1,4.76,1,4.76
12534,Luke Garrett,4.23,x R2' D2 R U R' D2 R U' R x' U',1.03,24.3%,10,9.71,12,11.65
12533,Luke Garrett,4.31,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U',1.14,26.5%,17,14.91,17,14.91
12532,Luke Garrett,4.42,,0.10,2.3%,1,10.00,1,10.00
12531,Luke Garrett,6.15,U' R U' R' U' R U R D R' U' R D' R' U2 R' U',1.03,16.7%,17,16.50,17,16.50
12530,Luke Garrett,4.21,,0.00,0.0%,0,n/a,0,n/a
12518,Riley Dexter,3.93,,0.00,0.0%,0,n/a,0,n/a
12504,Zhaokun Li,3.39,,0.00,0.0%,0,n/a,0,n/a
12487,Luke Garrett,4.18,,0.00,0.0%,0,n/a,0,n/a
12486,Luke Garrett,4.58,U2 R U R' U' R' F R2 U' R' U F' L' U L,1.41,30.8%,15,10.64,15,10.64
12485,Luke Garrett,4.40,R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',1.15,26.1%,19,16.52,19,16.52
12484,Radosław Marcinek,4.86,,0.00,0.0%,0,n/a,0,n/a
12483,Radosław Marcinek,6.40,U' R' U2 R' D' R U' R' D R U R U' R' U' R,1.55,24.2%,16,10.32,16,10.32
12482,Radosław Marcinek,4.80,,0.00,0.0%,0,n/a,0,n/a
12481,Radosław Marcinek,5.81,U' U' R' U2 R' D' R U' R' D R U R U' R' U' R U',1.74,29.9%,18,10.34,18,10.34
12480,Radosław Marcinek,5.06,,0.00,0.0%,0,n/a,0,n/a
12479,Matty Hiroto Inaba,3.35,U' R U R' U R' U' R2 U' R' U R' U R U2',0.88,26.3%,15,17.05,15,17.05
12478,Matty Hiroto Inaba,4.16,R' U2' R U2' R' F R U R' U' R' F' R2 U,1.34,32.2%,14,10.45,14,10.45
12477,Matty Hiroto Inaba,4.11,U' R U R' U R' U' R2 U' R' U R' U R,0.73,17.8%,14,19.18,14,19.18
12476,Matty Hiroto Inaba,5.16,,0.00,0.0%,0,n/a,0,n/a
12475,Matty Hiroto Inaba,4.32,U L' U' L F L' U' L U L F' L2' U L,0.97,22.5%,14,14.43,14,14.43
12469,Zhaokun Li,4.46,R' U' R' F R F' U R,1.23,27.6%,21,17.07,21,17.07
12468,Zhaokun Li,4.22,,0.00,0.0%,0,n/a,0,n/a
12467,Zhaokun Li,4.54,,0.00,0.0%,0,n/a,0,n/a
12466,Zhaokun Li,5.55,,0.00,0.0%,0,n/a,0,n/a
12465,Zhaokun Li,4.76,U2' R U R2' F' r U R U' r' F R U' R',1.03,21.6%,14,13.59,14,13.59
12464,Yiheng Wang,4.05,U D' R2 U R' U R' U' R U' R2 U' D R' U R,0.92,22.7%,16,17.39,16,17.39
12434,Luke Garrett,5.06,U x R' U R' D2 R U' R' D2 y F2 R2,1.73,34.2%,11,6.36,13,7.51
12433,Luke Garrett,4.90,,0.00,0.0%,0,n/a,0,n/a
12432,Luke Garrett,5.47,U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,1.57,28.7%,19,12.10,19,12.10
12431,Luke Garrett,5.06,R' U R' U' R3 U' R' U R U R2',0.74,14.6%,11,14.86,11,14.86
12430,Luke Garrett,4.83,U2 y x R' U R' D2 R U' R' D2 R2,1.65,34.2%,10,6.06,12,7.27
12429,Luke Garrett,5.12,U' U' D' R U R' U' D R2 U' R U' R' U R' U R2 U,1.54,30.1%,18,11.69,18,11.69
12428,Luke Garrett,6.55,M2' U M2' U2 M2' U M2',1.13,17.3%,7,6.19,7,6.19
12427,Luke Garrett,5.09,U' F R U' R' U' R U R' F' R U R' U' R' F R F' U2',1.32,25.9%,19,14.39,19,14.39
12426,Luke Garrett,5.05,U M2' U' M U2 M' U' M2' U2,0.90,17.8%,9,10.00,9,10.00
12425,Luke Garrett,4.14,M2' U' M U2 M' U' M2' U2,1.62,39.1%,8,4.94,8,4.94
12424,Luke Garrett,5.54,M2' U M2' U M' U2 M2' U2 M' U',1.29,23.3%,10,7.75,10,7.75
12423,Luke Garrett,4.64,U x R2' D2 R U R' D2 R U' R x' U',0.91,19.6%,11,12.09,13,14.29
12422,Luke Garrett,5.85,U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',1.33,22.7%,20,15.04,20,15.04
12421,Luke Garrett,4.88,U R U R' F' R U R' U' R' F R2 U' R' U',1.00,20.5%,15,15.00,15,15.00
12420,Luke Garrett,5.31,R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U,1.39,26.2%,19,13.67,19,13.67
12419,Luke Garrett,5.54,U' R' U R' U' R3 U' R' U R U R2' U,1.34,24.2%,13,9.70,13,9.70
